keyword,ngram,pattern,start,end,phrase_length
holmes she,2,NN,3,4,2
woman i,2,NN,8,9,2
him,1,N,13,13,1
her under any other name in his eyes,8,NPDANPNN,15,22,8
other name in his eyes she,6,ANPNNN,18,23,6
whole of her sex it,5,NPNNN,28,32,5
he,1,N,36,36,1
emotion akin,2,NN,39,40,2
irene adler,2,AN,44,45,2
emotions,1,N,47,47,1
one,1,N,50,50,1
his cold precise,3,NAN,55,57,3
mind he,2,NN,61,62,2
i,1,N,64,64,1
it,1,N,66,66,1
perfect reasoning,2,AN,69,70,2
machine,1,N,73,73,1
world,1,N,76,76,1
lover he,2,NN,82,83,2
himself in a false position he,6,NPDANN,87,92,6
softer passions,2,NN,97,98,2
gibe,1,N,102,102,1
sneer they,2,NN,105,106,2
admirable things for the observer,5,ANPDN,108,112,5
veil from men,3,NPN,118,120,3
motives,1,N,122,122,1
actions,1,N,124,124,1
reasoner,1,N,129,129,1
such intrusions into his own delicate,6,ANPNAN,132,137,6
temperament,1,N,141,141,1
distracting factor which,3,ANN,146,148,3
doubt upon all his mental results,6,NPDNAN,152,157,6
sensitive instrument,2,AN,161,162,2
crack,1,N,165,165,1
his own high power lenses,5,NAANN,169,173,5
strong emotion in a nature,5,ANPDN,181,185,5
his,1,N,188,188,1
there,1,N,191,191,1
one woman to him,4,ANPN,194,197,4
woman,1,N,200,200,1
late irene adler,3,AAN,203,205,3
questionable memory i,3,ANN,209,211,3
holmes,1,N,216,216,1
my marriage,2,NN,218,219,2
us,1,N,222,222,1
other my own complete happiness,5,ANAAN,226,230,5
home,1,N,233,233,1
interests which,2,NN,235,236,2
man who,2,NN,241,242,2
himself master of his own establishment,6,NNPNAN,245,250,6
my attention,2,NN,256,257,2
holmes who,2,NN,259,260,2
form of society with his whole bohemian soul,8,NPNPNAAN,263,270,8
our lodgings in baker street,5,NNPNN,273,277,5
his old books,3,NAN,280,282,3
week to week between cocaine,5,NPNPN,286,290,5
ambition,1,N,292,292,1
drowsiness of the drug,4,NPDN,294,297,4
fierce energy of his own keen nature he,8,NNPNAANN,300,307,8
study of crime,3,NPN,316,318,3
his immense faculties,3,NAN,321,323,3
extraordinary powers of observation,4,ANPN,325,328,4
clues,1,N,333,333,1
mysteries which,2,NN,338,339,2
official police from time to time i,7,ANPNPNN,347,353,7
vague account of his doings of his summons,8,ANPNNPNN,356,363,8
