keyword,ngram,pattern,start,end,phrase_length
middle class man who,4,ANNN,4,7,4
his family on an income,5,NNPDN,10,14,5
year,1,N,19,19,1
his lot,2,NN,26,27,2
sofa after supper,3,NPN,32,34,3
newspaper i,2,NN,39,40,2
newspaper today his wife,4,NNNN,46,49,4
him,1,N,52,52,1
she,1,N,54,54,1
table look,2,NN,57,58,2
list of drawings,3,NPN,63,65,3
there,1,N,67,67,1
it,1,N,69,69,1
ivan dmitritch,2,AN,72,73,2
your ticket,2,NN,77,78,2
i,1,N,81,81,1
interest on tuesday what,4,NPNN,84,87,4
"number series 9,499 number",4,NNAN,90,93,4
right we,2,AN,96,97,2
26 ivan dmitritch,3,AAN,102,104,3
faith in lottery luck,4,NPNN,107,110,4
rule,1,N,116,116,1
lists,1,N,123,123,1
numbers,1,N,126,126,1
he,1,N,130,130,1
nothing,1,N,132,132,1
newspaper,1,N,139,139,1
his eyes he,3,NNN,142,144,3
his finger,2,NN,146,147,2
column of numbers,3,NPN,151,153,3
mockery of his scepticism,4,NPNN,159,162,4
second line from the top his eye,7,ANPDNNN,167,173,7
figure,1,N,178,178,1
his eyes he,3,NNN,183,185,3
paper on his knees,4,NPNN,189,192,4
number of the ticket,4,NPDN,198,201,4
one,1,N,207,207,1
him,1,N,210,210,1
douche of cold water he,5,NPANN,212,216,5
agreeable chill in the pit of the stomach,8,ANPDNPDN,219,226,8
chill in the pit of the stomach tingling,8,NPDNPDNN,220,227,8
sweet masha,2,AN,231,232,2
there he,2,NN,235,236,2
hollow voice his wife,4,NNNN,240,243,4
his,1,N,246,246,1
panicstricken face,2,AN,249,250,2
he,1,N,254,254,1
"9,499 she",2,AN,258,259,2
pale,1,N,262,262,1
tablecloth on the table,4,NPDN,267,270,4
it,1,N,273,273,1
number of the ticket,4,NPDN,279,282,4
there,1,N,285,285,1
number of the ticket,4,NPDN,288,291,4
i,1,N,297,297,1
number of our series,4,NPNN,301,304,4
there,1,N,306,306,1
you,1,N,308,308,1
his wife ivan dmitritch,4,NNAN,312,315,4
broad senseless smile like a baby,6,AANPDN,318,323,6
bright object,2,AN,326,327,2
it his wife,3,NNN,330,332,3
it,1,N,335,335,1
her as to him,4,NPPN,340,343,4
he,1,N,345,345,1
series,1,N,349,349,1
number,1,N,358,358,1
ticket,1,N,362,362,1
oneself with hopes of possible fortune,6,NPNPAN,367,372,6
it,1,N,378,378,1
our series,2,NN,380,381,2
ivan dmitritch after a long silence,6,ANPDAN,383,388,6
there,1,N,390,390,1
probability that we,3,NNN,393,395,3
it,1,N,398,398,1
probability,1,N,402,402,1
it,1,N,405,405,1
little we,2,AN,412,413,2
plenty of time,3,NPN,415,417,3
it,1,N,421,421,1
second line from the top,5,ANPDN,425,429,5
prize,1,N,432,432,1
seventy five thousand that,4,AAAN,434,437,4
money,1,N,440,440,1
power capital,2,NN,442,443,2
minute i,2,NN,447,448,2
list,1,N,453,453,1
there 26 eh i,4,NANN,455,458,4
what,1,N,460,460,1
we,1,N,462,462,1
husband,1,N,467,467,1
wife,1,N,469,469,1
silence,1,N,478,478,1
possibility,1,N,480,480,1
them they,2,NN,484,485,2
what they,2,NN,494,495,2
seventy,1,N,499,499,1
what they,2,NN,503,504,2
they,1,N,508,508,1
they,1,N,511,511,1
figures,1,N,516,516,1
them in their imagination,4,NPNN,522,525,4
they,1,N,528,528,1
happiness itself which,3,NNN,534,536,3
possible ivan dmitritch,3,AAN,539,541,3
paper in his hand,4,NPNN,544,547,4
several times from corner to corner,6,ANPNPN,549,554,6
he,1,N,558,558,1
